source,target,distance,duration,pm
0,120,335.0,242.0,72.0930478377
0,309,401.0,329.0,61.6608872979
0,326,710.0,573.0,67.2092026481
0,166,753.0,566.0,77.7476749914
0,268,1001.0,750.0,67.269211196
0,5,957.0,699.0,76.9910188843
0,272,1011.0,846.0,48.07760091390001
0,149,992.0,786.0,81.7813531621
0,251,1260.0,1011.0,71.9381969224
1,338,570.0,442.0,60.8126910815
1,306,743.0,577.0,55.6059862308
1,294,628.0,491.0,70.9168956959
1,152,849.0,646.0,71.3841189542
1,74,847.0,626.0,75.3109547828
1,28,1211.0,967.0,76.4428413975
1,112,1311.0,1016.0,79.8724751456
1,18,1076.0,817.0,77.1657407476
1,222,1137.0,880.0,66.37464485859999
2,264,889.0,646.0,70.0731934033
2,184,909.0,681.0,60.8177868858
2,302,1329.0,1037.0,76.7783417243
2,138,1355.0,1004.0,68.8844873755
2,132,1285.0,1065.0,69.1875356347
2,282,1426.0,1061.0,65.9800547207
2,163,1425.0,1073.0,60.7025272429
2,226,1721.0,1335.0,67.95204228850001
2,342,1737.0,1337.0,71.53704598770001
3,177,632.0,507.0,82.8829616046
3,15,819.0,612.0,82.66253574779999
3,111,1238.0,902.0,70.93111600659999
3,55,1224.0,981.0,71.0529137571
3,253,1558.0,1224.0,78.0665201707
3,332,1257.0,981.0,67.6554981801
3,11,1328.0,1001.0,61.66656297390001
3,82,1491.0,1183.0,73.57972019600001
3,299,1911.0,1504.0,66.710135421
4,27,432.0,337.0,71.1402668045
4,165,556.0,401.0,43.5423933819
4,139,704.0,543.0,78.33771847850001
4,257,659.0,511.0,67.0741025388
4,150,792.0,578.0,76.7812260557
4,65,904.0,711.0,79.7640361795
4,260,814.0,621.0,69.987682799
4,41,1088.0,830.0,67.5753996258
4,100,965.0,746.0,54.5192404776
5,272,405.0,337.0,48.07760091390001
5,195,485.0,340.0,55.4870826708
5,120,972.0,800.0,72.0930478377
5,326,850.0,719.0,67.2092026481
5,133,907.0,697.0,61.452211193000004
5,67,705.0,572.0,71.3257727816
5,308,868.0,730.0,83.8734698308
5,244,973.0,694.0,73.9788415564
5,0,957.0,795.0,63.027657875
6,281,409.0,276.0,72.5318286267
6,315,746.0,620.0,79.9585255857
6,89,792.0,556.0,61.3296155598
6,102,652.0,521.0,94.93728557040001
6,98,564.0,388.0,70.6516892842
6,250,752.0,541.0,59.4316808904
6,26,622.0,555.0,77.2854769087
6,335,1154.0,881.0,70.5791503184
6,57,1156.0,818.0,79.7970072921
7,75,381.0,277.0,73.7024580651
7,259,353.0,294.0,73.7665396324
7,346,563.0,449.0,69.3739588173
7,63,441.0,308.0,77.0884917602
7,97,573.0,410.0,56.8320623285
7,198,460.0,349.0,89.7953549309
7,85,560.0,415.0,74.5192949252
7,146,639.0,453.0,75.3200530245
7,168,779.0,651.0,68.8737698393
8,78,482.0,338.0,68.670324345
8,298,584.0,430.0,84.1459358039
8,191,628.0,436.0,79.4434469327
8,48,528.0,405.0,85.5014569162
8,207,735.0,539.0,67.8991732946
8,275,664.0,488.0,73.46672758369998
8,136,1001.0,719.0,63.59076869720001
8,104,1289.0,901.0,77.4033087035
8,10,1063.0,802.0,68.5036702937
9,235,592.0,472.0,80.4685940834
9,83,685.0,479.0,76.31658127680001
9,108,921.0,662.0,79.4089913448
9,205,1022.0,765.0,75.9494451633
9,217,1324.0,959.0,60.296474374700004
9,76,1839.0,1352.0,93.6568443297
9,265,1710.0,1236.0,55.601103425699996
9,337,2217.0,1615.0,60.25158996800001
9,229,1900.0,1421.0,73.3096244056
10,275,423.0,299.0,73.46672758369998
10,26,480.0,328.0,77.2854769087
10,87,880.0,637.0,95.77306695530001
10,136,788.0,565.0,63.59076869720001
10,16,1034.0,733.0,66.8975586539
10,315,867.0,600.0,79.9585255857
10,245,1032.0,689.0,51.38666189510001
10,78,992.0,724.0,68.670324345
10,57,1226.0,856.0,79.7970072921
11,289,400.0,302.0,77.23967801100001
11,116,594.0,490.0,68.9461574578
11,15,522.0,374.0,82.66253574779999
11,55,538.0,456.0,71.0529137571
11,82,769.0,630.0,73.57972019600001
11,105,789.0,613.0,80.3006708206
11,301,872.0,685.0,71.1340580299
11,124,1022.0,764.0,85.2104830656
11,84,1326.0,1015.0,68.175690578
12,317,399.0,257.0,62.1369312726
12,251,758.0,595.0,71.9381969224
12,210,995.0,692.0,70.9531500802
12,118,1679.0,1239.0,77.6481734864
12,0,2020.0,1498.0,63.027657875
12,166,2109.0,1579.0,77.7476749914
12,149,1567.0,1174.0,81.7813531621
12,130,1724.0,1229.0,79.4480830286
12,319,1766.0,1317.0,65.854832127
13,330,635.0,431.0,65.42609246
13,125,1051.0,828.0,78.4134348602
13,61,1244.0,906.0,72.3877267642
13,91,1512.0,1080.0,67.9098923457
13,95,1096.0,782.0,64.9384285121
13,238,1355.0,1038.0,75.8402680207
13,93,1275.0,949.0,58.747159598
13,283,1888.0,1456.0,60.528156464700004
13,277,1565.0,1214.0,81.78722889689999
